,narrator_id,name,grade,death_reason,places_of_stay
15,16,ibn Mas'ud ( عبد الله بن مسعود ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Abyssinia, Medina, kufah"
16,17,ibn Abbas ( عبد الله بن العباس بن عبد المطلب  الحبر ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
17,18,ibn Umar ( عبد الله بن عمر بن الخطاب ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
18,19,Anas bin Malik ( أنس بن مالك بن النضر ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Medinah, Damascus,  Basrah"
19,20,Hamza ibn 'Abd al-Muttalib ( حمزة بن عبد المطلب أسد الله ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Medina"
20,21,Ja'far ibn Abi Talib ( جعفر بن أبي طالب بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Abyssinia, Medina"
21,22,Khalid bin al-Walid ( خالد بن الوليد بن المغيرة ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Syria"
22,23,Abu Dharr al-Ghaffari ( جندب بن جنادة أبو ذر الغفاري ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Hijaz, Medina, Syria, Al-Rabathah"
23,24,Bilal ibn Ribah ( بلال بن رباح الحبشي المؤذن ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Syria"
24,25,Ammar ibn Yasir ( عمار بن ياسر بن عامر ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Medina, kufah"
25,26,Abdullah bin Jahsh ( عبد الله بن جحش بن رياب ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Medina"
26,27,Mu'awiya ibn Abu Sufyan ( معاوية بن أبي سفيان ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Syria, Egypt"
27,28,Amr bin al-'Aas ( عمرو بن العاص بن وائل ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medinah, Egypt, Syria"
28,29,Abdullah bin 'Amr bin al-'Aas ( عبد الله بن عمرو بن العاص ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Egypt, Syria, Ta'if"
29,30,Hassan ibn Ali bin Abi Talib ( الحسن بن علي بن أﺑﻲ طالب ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Medinah, Kufa"
30,31,Hussain ibn 'Ali ibn Abi Talib ( حسين بن علي بن أﺑﻲ طالب ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Medinah, Kufa, Makkah"
31,32,Mu'adh ibn Jabal ( معاذ بن جبل بن عمرو بن أوس ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Medinah, Yemen, Makkah, Palestine, Syria"
32,33,Abu Ayyub al-Ansari ( أبو أيوب الأنصاري خالد بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Medinah, Iraq, Egypt"
33,34,Jabir ibn 'Abdullah ( جابر بن عبد الله بن عمرو السلمي الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Medinah, Baghdad, Egypt, Damascus"
34,35,Sa'd ibn 'Ubadah ( سعد بن عبادة بن دليم ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Medinah, Syria"
35,36,Sa'd ibn ar-Rabi' ( سعد بن الربيع بن عمرو بن أبي زهير ( رضي الله عنه,Comp.(RA),,Medinah
36,37,Abu al-Darda ( أبو الدرداء عويمر بن زيد بن قيس الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Medina, Syria"
37,38,Abu Sa'id al-Khudri ( أبو سعيد سعد بن مالك بن سنان الخدري ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,Medina
38,39,Ubayy ibn Ka'b ( أبي بن كعب بن قيس ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,Medinah
39,40,Ubada bin As-Samit ( عبادة بن الصامت بن قيس بن أصرم ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medinah, Palestine, Syria"
40,41,Abu Musa al-Asha'ari ( أبو موسى الأشعري ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Yemen, Makkah, Medina, Basra, Kufa"
41,42,Malik bin Sinan ( مالك بن سنان بن عبيد بن ثعلبة الأنصاري ( رضي الله عنه,Comp.(RA),Martyred,Medina
42,43,Nawfal bin Mu'awiyah al-Dayli ( نوفل بن معاوية بن عروة الديلي ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
43,44,al-Hubab ibn al-Mundhir ( الحباب بن المنذر بن الجموح بن زيد ( رضي الله عنه,Comp.(RA),Natural,Medina
44,45,Usaid bin Hudair bin Sammak ( أسيد بن الحضير بن سماك ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,Medinah
45,46,Sa'd ibn Mua'dh ( سعد بن معاذ بن النعمان ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,Medinah
46,47,Abdullah bin Zayd ( عبد الله بن زيد بن ثعلبة ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,Medinah
47,48,Abdullah ibn Rawaha ( عبد الله بن رواحة ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,Medinah
48,49,Zayd ibn Thabit ( زيد بن ثابت بن الضحاك بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,Medina
49,50,Usamah ibn Zayd ( أسامة بن زيد بن حارثة ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medinah"
50,51,Khadijah ( خديجة بنت خويلد ( رضي الله عنها,Comp.(RA),Natural,Makkah
51,52,Sawda bint Zam'a ( سودة بنت زمعة ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Abyssinia, Medinah"
52,53,Aisha bint Abi Bakr ( أمّ المؤمنين عائشة بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
53,54,Hafsa bint Umar ( حفصة بنت عمر بن الخطاب أم المؤمنين ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
54,55,Zaynab bint Khazeemah ( زينب بنت خزيمة ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
55,56,Umm Salamah ( أم سلمة بنت أبي أمية ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
56,57,Zaynab bint Jahsh ( زينب بنت جحش الأسدية أم المؤمنين ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
57,58,Juwayriya bint al-Harith ( جويرية بنت الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,Medinah
58,59,"Umm Habibah bint Abi Sufyan ( أم حبيبة ,رملة بنت أبي سفيان ( رضي الله عنها",Comp.(RA) [1st Generation],Natural,"Makkah, Abyssinia, Medina"
59,60,Safiyya bint Huyayy ( صفية بنت حيي بن أخطب ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,Medinah
60,61,Maymuna bint al-Harith ( ميمونة بنت الحارث بن حزن الهلالية ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
61,62,Maria al-Qibtiyya ( مارية القبطية أم ولد ( رضي الله عنها,Comp.(RA),Natural,"Egypt, Medinah"
62,63,Fatima bint Muhammad ( فاطمة الزهراء بنت محمد بن عبد الله ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
63,64,Liala bint Abi Hathmah ( ليلى بنت أبي خثمة بن حذيفة ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Abyssinia, Medinah"
64,65,Sehlah bint Suhayl ( سهلة بنت سهيل بن عمرو ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Abyssinia, Medinah"
65,66,al-Khansa ( خنساء/ تماضر بنت عمرو ( رضي الله عنها,Comp.(RA),Natural,Medina
66,67,al-Nahdiya ( النهدية ( رضي الله عنها,Comp.(RA),,"Makkah,  Medinah"
67,68,Arwa bint al-Harith ( أروى بنت الحارث ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
68,69,Asma bint 'Umays ( أسماء بنت عميس بن معد ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Abyssinia"
69,70,Asma' bint Abi Bakr ( أسماء بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
70,71,Umm Atiyyah Ansariyah ( أم عطية الأنصارية ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Medina,  Basra"
71,72,Hamnah bint Jahsh ( حمنة بنت جحش الأسدية  ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
72,73,Hind bint Awf ( هند / خولة بنت عوف بن زهير ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
73,74,Hind bint 'Utba b. Rabi'a b. 'Abd Shams ( هند بنت عتبة بن ربيعة بن عبد شمس ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medinah"
74,75,Ruqayqa bint Abi Sayfi bin Hashim ( رقيقة بنت أبي صيفي بن هاشم ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
75,76,Khawlah bint Hakim ( خولة بنت حكيم بن أمية ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
76,77,Fatima bint Asad ( فاطمة بنت أسد بن هاشم بن عبد مناف ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
77,78,Fatima bint al-Khattab ( فاطمة بنت الخطاب بن نفيل القرشية العدوية ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
78,79,"Umm 'Ammarah Nasaybah ( نسيبة بنت كعب ,أم عمارة ( رضي الله عنها",Comp.(RA) [1st Generation],Natural,"Medina, Basra"
79,80,Najiyah/'Atika/Fakhta bint al-Walid ( ناجية/عاتكة/فاختة بنت الوليد بن المغيرة ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
80,81,Qaraybah bint Abi Umayyah al-Sugra ( قريبة بنت أبي أمية ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
81,82,Faree'ah bint Malik ( فريعة بنت مالك بن سنان ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,Medina
82,83,Umm Sulaym bint Milhan ( أم سليم بنت ملحان ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,Medinah
83,84,Asma' bint Yazid bin al-Sakan ( أسماء بنت يزيد بن السكن ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Medina, Damascus"
84,85,Safiyya bint ‘Abd al-Muttalib ( صفية بنت عبد المطلب بن هاشم ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
85,86,Salma bint 'Umays ( سلمى بنت عميس بن معد ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
86,87,Umm al-Darda ( خيرة بنت أبي حدرد أم الدرداء ( رضي الله عنها,Comp.(RA),Natural,"Medina, Syria"
87,88,Sirin ( سيرين أم ولد حسان بن ثابت ( رضي الله عنها,Comp.(RA),Natural,"Egypt, Medinah"
88,89,Sumayyah bint Khayyat ( سمية بنت خباط ( رضي الله عنها,Comp.(RA),Martyred,Makkah
89,90,Thuwaybah ( ثويبة ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
90,91,Umm Ruman ( أم رومان زينب بنت عامر ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Sarat,  Makkah,  Madina"
91,92,Umamah bint Zainab ( أمامة بنت أبي العاص بن الربيع ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina, Kufa"
92,93,Umm Hakim ( أم حكيم بنت الحارث بن هشام بن المغيرة ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina, Syria"
93,94,Umm Kulthum bint Muhammad ( أم كلثوم بنت سيد البشر رسول الله ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medinah"
94,95,Umm Kulthum bint 'Uqba ( أم كلثوم بنت عقبة بن أبي معيط ( رضي الله عنها,Comp.(RA) [3rd Generation],Natural,"Makkah, Medina"
95,96,Asma bint Sa'id bin Zayd ( أسماء بنت سعيد بن زيد ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Kufa"
96,97,Zaynab bint Muhammad ( زينب بنت سيد ولد آدم محمد بن عبد الله ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
97,98,Zaynab bint 'Ali bin Abi Talib ( زينب بنت على بن أبي طالب ( رضي الله عنها,Comp.(RA),Natural,"Medinah, Kufa"
98,99,Umm Kulthum bint 'Ali bin Abi Talib ( أم كلثوم بنت علي بن أبي طالب ( رضي الله عنها,Comp.(RA),Natural,Medinah
99,100,al-'Abbas ibn 'Abd al-Muttalib ( العباس بن عبد المطلب بن هاشم ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
100,101,Abu Salamah ( عبد الله بن عبد الأسد أبو سلمة ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Abyssinia, Medinah"
101,102,Ruqayyah bint Muhammad ( رقية بنت محمد بن عبد الله ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Abyssinia, Medinah"
102,103,Abdullah bin Saalam ( عبد الله بن سلام بن الحارث أبو يوسف ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,Medina
103,104,Hadrad bin Abi Hadrad al-Aslami ( حدرد بن أبي حدرد ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,Medina
104,105,Abdullah bin Abi Hadrad al-Aslami ( عبد الله بن أبي حدرد ( رضي الله عنه,Comp.(RA),Natural,Medina
105,106,Abdullah ibn al-Zubayr ( عبد الله بن الزبير بن العوام ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Medinah, Makkah"
106,107,Abdur Rahman bin Abi Bakr ( عبد الرحمن بن أبي بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
107,108,Abdullah ibn Ja'far ( عبد الله بن جعفر بن أبي طالب ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Abyssinia,  Medina,  Kufa"
108,109,Bukayr bin Shaddakh al-Laithi ( بكير - بكر بن الشداخ الليثي ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Medina"
109,110,Abdullah bin Abi Bakr ( عبد الله بن أبي بكر ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Medina"
110,111,"Abu Dujana, Simak bin Aus bin Kharasha ( سماك بن خرشة أبو دجانة الأنصاري ( رضي الله عنه",Comp.(RA),Martyred,Medinah
111,112,al-Mundhir bin 'Amr b. Khunays ( المنذر بن عمرو بن خنيس ( رضي الله عنه,Comp.(RA),Martyred,Medinah
112,113,Abu Usayd Malik bin Rabi'a ( مالك بن ربيعة أبو أسيد الساعدي الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Medinah, Basra"
113,114,Zayd ibn al-Khattab ( زيد بن الخطاب بن نفيل العدوي ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Medina"
114,115,Abu Lubaba bin 'Abdul Mundhir ( أبو لبابة بن عبد المنذر ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,Medina
115,116,Abu Sufyan ibn Harb ( صخر بن حرب أبو سفيان ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medinah"
116,117,Abu Sufyan ibn al-Harith ( أبو سفيان بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Medina"
117,118,Ja'far ibn Abi Sufyan ( ‎جعفر بن أبي سفيان بن الحارث ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Medina, Damascus"
118,119,Abu al-'Aas ibn al-Rabiah ( أبو العاص بن الربيع ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Medina"
119,120,Abu Hudhayfah ibn 'Utbah ( أبو حذيفة بن عتبة بن ربيعة بن عبد شمس ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Abyssinia, Medinah"
120,121,Uthman bin Maz'un ( عثمان بن مظعون ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Abyssinia, Medinah"
121,122,Abdullah bin Maz'un ( عبد الله بن مظعون الجمحي ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Abyssinia, Medinah"
122,123,Imran bin Husain ( عمران بن حصين ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Kufa, Basra"
123,124,Zaynab bint Maz'un ( زينب بنت مظعون بن حبيب الجمحية ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
124,125,Umm Waraqa bint 'Abdullah ( أم ورقة بنت عبد الله بن الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],Martyred,Medina
125,126,Zinira ( زنيرة ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medinah"
126,127,Abdur Rahman ibn Shaddad ( عبد الرحمن بن شداد الليثي ( رضي الله عنه,Comp.(RA),Natural,Medinah
127,128,Qutham ibn al-'Abbas ( قثم بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Samarqand"
128,130,Thawban bin Bujdud ( ثوبان مولى رسول الله صلى الله عليه وسلم ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, as-Surat, Syria, Hims"
129,131,Abdullah ('Abd Rabb) bin Haq ( عبد الله (عبد رب) بن حق بن أوس ( رضي الله عنه,Comp.(RA),Natural,Medinah
130,132,Bashir ibn Sa'd ( بشير بن سعد بن ثعلبة  ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,Medina
131,133,Ubaydallah bin al-'Abbas ( عبيد الله بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
132,134,Amina bint 'Amr bin Harb ( آمنة بنت عمرو بن حرب ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medinah"
133,135,Fadl ibn al-'Abbas ( الفضل بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
134,136,Umm Habib bint Jahsh ( أم حبيبة بنت جحش ( رضي الله عنها,Comp.(RA) [4th generation],Natural,"Makkah, Medina"
135,137,Jariyya bint 'Amr bin Mu'mil ( جارية بنت عمرو بن المؤمل ( رضي الله عنها,Comp.(RA),,"Makkah,  Medinah"
136,138,Damra bin Ka'b bin 'Amr ( ضمرة بن كعب بن عمرو ( رضي الله عنه,Comp.(RA),Martyred,Medinah
137,139,Habibah bint Ubayd-Allah ( حبيبة بنت أم حبيبة بنت أبي سفيان  ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Abyssinia, Medinah"
138,140,Abdullah bin Abi Umayyah ( عبد الله بن أبي أمية المخزومي ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Medina"
139,141,Lubaba(Sughra) bint al-Harith ( لبابة (الصغرى) بنت الحارث ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina"
140,142,Ziyad bin Ka'b bin 'Amr ( زياد بن كعب بن عمرو ( رضي الله عنه,Comp.(RA),Natural,Medinah
141,143,Muhammad bin Abu Hudhayfah ibn 'Utbah ( محمد بن أبي حذيفة بن عتبة ( رضي الله عنه,Comp.(RA),,"Abyssinia, Makkah, Medinah, Egypt"
142,144,Hisham ibn al-'Aas ( هشام بن العاصي بن وائل  ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Abyssinia, Medina"
143,145,Hudhayfah ibn al-Yaman ( حذيفة بن اليمان ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Kufa"
144,146,Buzay'a bint Abi Kharija bin Aws ( بزيعة بنت أبي خارجة بن أوس ( رضي الله عنها,Comp.(RA),Natural,Medina
145,147,Ikrimah ibn Abi Jahl ( عكرمة بن أبي جهل ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Makkah, Yemen, Syria"
146,148,Nu'man bin Malik ( النعمان بن مالك بن ثعلبة بن دعد ( رضي الله عنه,Comp.(RA),Martyred,Medina
147,149,Khabbab ibn al-Aratt ( خباب بن الأرت ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Kufa"
148,150,Khalid bin Sa`id ibn al-'As ( خالد بن سعيد بن العاص بن أمية ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Abyssinia, Medinah, Syria"
149,151,Shaddad ibn al-Haad ( شداد بن الهاد الليثي ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Kufa"
150,152,Khunays ibn Hudhaifa ( خنيس بن حذافة بن قيس ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Abyssinia, Medinah"
151,153,Mandwas bint 'Ubada b. Dulaim ( مندوس بنت عبادة بن دليم الأنصارية ( رضي الله عنها,Comp.(RA),Natural,Medinah
152,154,Layla bint 'Ubada b. Dulaim ( ليلى بنت عبادة الأنصارية الساعدية ( رضي الله عنها,Comp.(RA),Natural,Medinah
153,155,Fukayha bint 'Ubayd b. Dulaim ( فكيهة بنت عبيد بن دليم الأنصارية ( رضي الله عنها,Comp.(RA),Natural,Medinah
154,156,Umm Fadl Lubaba bint al-Harith ( أم الفضل لبابة بنت الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
155,157,Sa'id bin Sa'd ibn 'Ubadah ( سعيد بن سعد بن عبادة الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Medinah, Syria"
156,158,Ishaq bin Sa'd ibn 'Ubadah ( إسحاق بن سعد بن عبادة الأنصاري ( رضي الله عنه,Comp.(RA) [2nd Generation],Martyred,Medinah
157,160,al-Furay'a bint Malik bin al-Dukhsham ( الفريعة بنت مالك بن الدخشم ( رضي الله عنها,Comp.(RA),Natural,Medinah
158,161,Qurratu'l-'Ayn bint 'Ubada bin Nadla ( قرة العين بنت عبادة بن نضلة ( رضي الله عنها,Comp.(RA),Natural,Medinah
159,162,al-Fa'rah bint Abi Sufyan ( الفارعة بنت أبي سفيان بن حرب ( رضي الله عنها,Comp.(RA),Natural,"Makkah, Medina, Abyssinia"
160,163,al-Miqdad ibn al-Aswad ( المقداد بن الأسود الكندي ( رضي الله عنه,Comp.(RA) [1st Generation],,"Makkah, Medina, Abyssinia"
161,164,Talib ibn Abi Talib ( طالب بن ابي طالب ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Medina"
162,165,Aqeel ibn Abi Talib ( عقيل بن أبي طالب ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Kufa"
163,166,al-Mughira ibn Shu'ba ( المغيرة بن شعبة ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medina, Basra, Kufa"
164,167,Muhammad Ibn Maslama ( محمد بن مسلمة بن سلمة ( رضي الله عنه,Comp.(RA) [1st Generation],,"Medina, Syria"
165,168,Muhammad ibn Abi Bakr ( محمد بن أبي بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],Martyred,"Medina, Kufa, Egypt"
166,169,Abdullah ibn Shaddad ( عبد الله بن شداد بن الهاد الليثي ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Medinah, Kufa"
167,170,Aus bin As-Samit ( أوس بن الصامت بن قيس بن أصرم ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medinah, Palestine, Syria"
168,171,Salma ( سلمى أم رافع امرأة أبي رافع ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medinah, Kufa"
169,172,Qays ibn Sa'd ibn 'Ubadah ( قيس بن سعد بن عبادة الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Medinah, Kufa, Egypt"
170,173,Naufal bin 'Abdullah bin Nadla ( نوفل بن عبد الله بن نضلة الأنصاري ( رضي الله عنه,Comp.(RA),Martyred,Medinah
171,174,Rabi'ah ibn al-Harith ( ربيعة بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Medinah"
172,175,Amir ibn Abi Waqqas ( عامر بن أبي وقاص ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Abyssinia, Medina, Syria"
173,176,Amra bint Mas'ud #4 ( عمرة بنت مسعود بن قيس الرابعة  ( رضي الله عنها,Comp.(RA),Natural,Medinah
174,177,Nawfal ibn al-Harith ( نوفل بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA),Natural,"Makkah, Medina"
175,178,Ghaziyya bint Sa'd ibn Khalifa ( عدية/غزية بنت سعد بن خليفة ( رضي الله عنها,Comp.(RA),Natural,Medinah
176,179,Abdullah ibn al-Harith ( عبد الله بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Medina"
177,180,Salim Mawla Abu Hudhayfah ( سالم مولى أبي حذيفة ( رضي الله عنه,Comp.(RA),Martyred,"Makkah, Medina"
178,181,Umama bint Hamza ( عماره/أمامة بنت حمزه بن عبدالمطلب ( رضي الله عنها,Comp.(RA) [1st Generation],Natural,"Makkah, Medina"
179,182,Suhayb bin Sinan ar-Rumi ( صهيب بن سنان بن مالك الرومي ( رضي الله عنه,Comp.(RA) [1st Generation],Natural,"Makkah, Rome, Medina"
