narrator_id,grade,death_reason,places_of_stay,name_en,name_ar
18,Companion (RA) [1st Generation],Natural,"Makkah, Medina",ibn Umar,عبد الله بن عمر بن الخطاب
19,Companion (RA) [1st Generation],Natural,"Medinah, Damascus,  Basrah",Anas bin Malik,أنس بن مالك بن النضر
20,Companion (RA),Martyred,"Makkah, Medina",Hamza ibn 'Abd al-Muttalib,حمزة بن عبد المطلب أسد الله
21,Companion (RA) [1st Generation],Martyred,"Makkah, Abyssinia, Medina",Ja'far ibn Abi Talib,جعفر بن أبي طالب بن عبد المطلب
22,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Syria",Khalid bin al-Walid,خالد بن الوليد بن المغيرة
23,Companion (RA) [1st Generation],Natural,"Hijaz, Medina, Syria, Al-Rabathah",Abu Dharr al-Ghaffari,جندب بن جنادة أبو ذر الغفاري
24,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Syria",Bilal ibn Ribah,بلال بن رباح الحبشي المؤذن
25,Companion (RA) [1st Generation],Martyred,"Makkah, Medina, kufah",Ammar ibn Yasir,عمار بن ياسر بن عامر
26,Companion (RA),Martyred,"Makkah, Medina",Abdullah bin Jahsh,عبد الله بن جحش بن رياب
27,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Syria, Egypt",Mu'awiya ibn Abu Sufyan,معاوية بن أبي سفيان
28,Companion (RA) [1st Generation],Natural,"Makkah, Medinah, Egypt, Syria",Amr bin al-'Aas,عمرو بن العاص بن وائل
29,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Egypt, Syria, Ta'if",Abdullah bin 'Amr bin al-'Aas,عبد الله بن عمرو بن العاص
30,Companion (RA) [1st Generation],Martyred,"Medinah, Kufa",Hassan ibn Ali bin Abi Talib,الحسن بن علي بن أﺑﻲ طالب
31,Companion (RA) [1st Generation],Martyred,"Medinah, Kufa, Makkah",Hussain ibn 'Ali ibn Abi Talib,حسين بن علي بن أﺑﻲ طالب
32,Companion (RA) [1st Generation],Natural,"Medinah, Yemen, Makkah, Palestine, Syria",Mu'adh ibn Jabal,معاذ بن جبل بن عمرو بن أوس
33,Companion (RA) [1st Generation],Natural,"Medinah, Iraq, Egypt",Abu Ayyub al-Ansari,أبو أيوب الأنصاري خالد بن زيد
34,Companion (RA) [1st Generation],Natural,"Medinah, Baghdad, Egypt, Damascus",Jabir ibn 'Abdullah,جابر بن عبد الله بن عمرو السلمي الأنصاري
35,Companion (RA) [1st Generation],Martyred,"Medinah, Syria",Sa'd ibn 'Ubadah,سعد بن عبادة بن دليم
36,Companion (RA),,Medinah,Sa'd ibn ar-Rabi',سعد بن الربيع بن عمرو بن أبي زهير
37,Companion (RA) [1st Generation],Natural,"Medina, Syria",Abu al-Darda,أبو الدرداء عويمر بن زيد بن قيس الأنصاري
38,Companion (RA) [1st Generation],Natural,Medina,Abu Sa'id al-Khudri,أبو سعيد سعد بن مالك بن سنان الخدري
39,Companion (RA) [1st Generation],Natural,Medinah,Ubayy ibn Ka'b,أبي بن كعب بن قيس
40,Companion (RA) [1st Generation],Natural,"Makkah, Medinah, Palestine, Syria",Ubada bin As-Samit,عبادة بن الصامت بن قيس بن أصرم
41,Companion (RA) [1st Generation],Natural,"Yemen, Makkah, Medina, Basra, Kufa",Abu Musa al-Asha'ari,أبو موسى الأشعري
42,Companion (RA),Martyred,Medina,Malik bin Sinan,مالك بن سنان بن عبيد بن ثعلبة الأنصاري
43,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Nawfal bin Mu'awiyah al-Dayli,نوفل بن معاوية بن عروة الديلي
44,Companion (RA),Natural,Medina,al-Hubab ibn al-Mundhir,الحباب بن المنذر بن الجموح بن زيد
45,Companion (RA) [1st Generation],Natural,Medinah,Usaid bin Hudair bin Sammak,أسيد بن الحضير بن سماك
46,Companion (RA) [1st Generation],Martyred,Medinah,Sa'd ibn Mua'dh,سعد بن معاذ بن النعمان
47,Companion (RA) [1st Generation],Natural,Medinah,Abdullah bin Zayd,عبد الله بن زيد بن ثعلبة
48,Companion (RA) [1st Generation],Martyred,Medinah,Abdullah ibn Rawaha,عبد الله بن رواحة
49,Companion (RA) [1st Generation],Natural,Medina,Zayd ibn Thabit,زيد بن ثابت بن الضحاك بن زيد
50,Companion (RA) [1st Generation],Natural,"Makkah, Medinah",Usamah ibn Zayd,أسامة بن زيد بن حارثة
51,Companion (RA),Natural,Makkah,Khadijah,خديجة بنت خويلد
52,Companion (RA) [1st Generation],Natural,"Makkah, Abyssinia, Medinah",Sawda bint Zam'a,سودة بنت زمعة
53,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Aisha bint Abi Bakr,أمّ المؤمنين عائشة بنت أبي بكر الصديق
54,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Hafsa bint Umar,حفصة بنت عمر بن الخطاب أم المؤمنين
55,Companion (RA),Natural,"Makkah, Medina",Zaynab bint Khazeemah,زينب بنت خزيمة
56,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Umm Salamah,أم سلمة بنت أبي أمية
57,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Zaynab bint Jahsh,زينب بنت جحش الأسدية أم المؤمنين
58,Companion (RA) [1st Generation],Natural,Medinah,Juwayriya bint al-Harith,جويرية بنت الحارث
59,Companion (RA) [1st Generation],Natural,"Makkah, Abyssinia, Medina",Umm Habibah bint Abi Sufyan,"أم حبيبة ,رملة بنت أبي سفيان"
60,Companion (RA) [1st Generation],Natural,Medinah,Safiyya bint Huyayy,صفية بنت حيي بن أخطب
61,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Maymuna bint al-Harith,ميمونة بنت الحارث بن حزن الهلالية
62,Companion (RA),Natural,"Egypt, Medinah",Maria al-Qibtiyya,مارية القبطية أم ولد
63,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Fatima bint Muhammad,فاطمة الزهراء بنت محمد بن عبد الله
64,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Liala bint Abi Hathmah,ليلى بنت أبي خثمة بن حذيفة
65,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Sehlah bint Suhayl,سهلة بنت سهيل بن عمرو
66,Companion (RA),Natural,Medina,al-Khansa,خنساء/ تماضر بنت عمرو
67,Companion (RA),,"Makkah,  Medinah",al-Nahdiya,النهدية
68,Companion (RA),Natural,"Makkah, Medina",Arwa bint al-Harith,أروى بنت الحارث
69,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Abyssinia",Asma bint 'Umays,أسماء بنت عميس بن معد
70,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Asma' bint Abi Bakr,أسماء بنت أبي بكر الصديق
71,Companion (RA) [1st Generation],Natural,"Medina,  Basra",Umm Atiyyah Ansariyah,أم عطية الأنصارية
72,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Hamnah bint Jahsh,حمنة بنت جحش الأسدية
73,Companion (RA),Natural,"Makkah, Medina",Hind bint Awf,هند / خولة بنت عوف بن زهير
74,Companion (RA),Natural,"Makkah, Medinah",Hind bint 'Utba b. Rabi'a b. 'Abd Shams,هند بنت عتبة بن ربيعة بن عبد شمس
75,Companion (RA),Natural,"Makkah, Medina",Ruqayqa bint Abi Sayfi bin Hashim,رقيقة بنت أبي صيفي بن هاشم
76,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Khawlah bint Hakim,خولة بنت حكيم بن أمية
77,Companion (RA),Natural,"Makkah, Medina",Fatima bint Asad,فاطمة بنت أسد بن هاشم بن عبد مناف
78,Companion (RA),Natural,"Makkah, Medina",Fatima bint al-Khattab,فاطمة بنت الخطاب بن نفيل القرشية العدوية
79,Companion (RA) [1st Generation],Natural,"Medina, Basra",Umm 'Ammarah Nasaybah,"نسيبة بنت كعب ,أم عمارة"
80,Companion (RA),Natural,"Makkah, Medina",Najiyah/'Atika/Fakhta bint al-Walid,ناجية/عاتكة/فاختة بنت الوليد بن المغيرة
81,Companion (RA),Natural,"Makkah, Medina",Qaraybah bint Abi Umayyah al-Sugra,قريبة بنت أبي أمية
82,Companion (RA) [1st Generation],Natural,Medina,Faree'ah bint Malik,فريعة بنت مالك بن سنان
83,Companion (RA) [1st Generation],Natural,Medinah,Umm Sulaym bint Milhan,أم سليم بنت ملحان
84,Companion (RA) [1st Generation],Natural,"Medina, Damascus",Asma' bint Yazid bin al-Sakan,أسماء بنت يزيد بن السكن
85,Companion (RA),Natural,"Makkah, Medina",Safiyya bint,‘Abd al-Muttalib  صفية بنت عبد المطلب بن هاشم
86,Companion (RA),Natural,"Makkah, Medina",Salma bint 'Umays,سلمى بنت عميس بن معد
87,Companion (RA),Natural,"Medina, Syria",Umm al-Darda,خيرة بنت أبي حدرد أم الدرداء
88,Companion (RA),Natural,"Egypt, Medinah",Sirin,سيرين أم ولد حسان بن ثابت
89,Companion (RA),Martyred,Makkah,Sumayyah bint Khayyat,سمية بنت خباط
90,Companion (RA),Natural,"Makkah, Medina",Thuwaybah,ثويبة
91,Companion (RA) [1st Generation],Natural,"Sarat,  Makkah,  Madina",Umm Ruman,أم رومان زينب بنت عامر
92,Companion (RA),Natural,"Makkah, Medina, Kufa",Umamah bint Zainab,أمامة بنت أبي العاص بن الربيع
93,Companion (RA),Natural,"Makkah, Medina, Syria",Umm Hakim,أم حكيم بنت الحارث بن هشام بن المغيرة
94,Companion (RA),Natural,"Makkah, Medinah",Umm Kulthum bint Muhammad,أم كلثوم بنت سيد البشر رسول الله
95,Companion (RA) [3rd Generation],Natural,"Makkah, Medina",Umm Kulthum bint 'Uqba,أم كلثوم بنت عقبة بن أبي معيط
96,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufa",Asma bint Sa'id bin Zayd,أسماء بنت سعيد بن زيد
97,Companion (RA),Natural,"Makkah, Medina",Zaynab bint Muhammad,زينب بنت سيد ولد آدم محمد بن عبد الله
98,Companion (RA),Natural,"Medinah, Kufa",Zaynab bint 'Ali bin Abi Talib,زينب بنت على بن أبي طالب
99,Companion (RA),Natural,Medinah,Umm Kulthum bint 'Ali bin Abi Talib,أم كلثوم بنت علي بن أبي طالب
100,Companion (RA) [1st Generation],Natural,"Makkah, Medina",al-'Abbas ibn 'Abd al-Muttalib,العباس بن عبد المطلب بن هاشم
101,Companion (RA) [1st Generation],Martyred,"Makkah, Abyssinia, Medinah",Abu Salamah,عبد الله بن عبد الأسد أبو سلمة
102,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Ruqayyah bint Muhammad,رقية بنت محمد بن عبد الله
103,Companion (RA) [1st Generation],Natural,Medina,Abdullah bin Saalam,عبد الله بن سلام بن الحارث أبو يوسف
104,Companion (RA) [1st Generation],Natural,Medina,Hadrad bin Abi Hadrad al-Aslami,حدرد بن أبي حدرد
105,Companion (RA),Natural,Medina,Abdullah bin Abi Hadrad al-Aslami,عبد الله بن أبي حدرد
106,Companion (RA) [1st Generation],Martyred,"Medinah, Makkah",Abdullah ibn al-Zubayr,عبد الله بن الزبير بن العوام
107,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Abdur Rahman bin Abi Bakr,عبد الرحمن بن أبي بكر الصديق
108,Companion (RA) [1st Generation],Natural,"Abyssinia,  Medina,  Kufa",Abdullah ibn Ja'far,عبد الله بن جعفر بن أبي طالب
109,Companion (RA),Natural,"Makkah, Medina",Bukayr bin Shaddakh al-Laithi,بكير - بكر بن الشداخ الليثي
110,Companion (RA),Martyred,"Makkah, Medina",Abdullah bin Abi Bakr,عبد الله بن أبي بكر
111,Companion (RA),Martyred,Medinah,"Abu Dujana, Simak bin Aus bin Kharasha",سماك بن خرشة أبو دجانة الأنصاري
112,Companion (RA),Martyred,Medinah,al-Mundhir bin 'Amr b. Khunays,المنذر بن عمرو بن خنيس
113,Companion (RA) [1st Generation],Natural,"Medinah, Basra",Abu Usayd Malik bin Rabi'a,مالك بن ربيعة أبو أسيد الساعدي الأنصاري
114,Companion (RA) [1st Generation],Martyred,"Makkah, Medina",Zayd ibn al-Khattab,زيد بن الخطاب بن نفيل العدوي
115,Companion (RA) [1st Generation],Natural,Medina,Abu Lubaba bin 'Abdul Mundhir,أبو لبابة بن عبد المنذر
116,Companion (RA) [1st Generation],Natural,"Makkah, Medinah",Abu Sufyan ibn Harb,صخر بن حرب أبو سفيان
117,Companion (RA),Natural,"Makkah, Medina",Abu Sufyan ibn al-Harith,أبو سفيان بن الحارث بن عبد المطلب
118,Companion (RA),Natural,"Makkah, Medina, Damascus",Ja'far ibn Abi Sufyan,جعفر بن أبي سفيان بن الحارث
119,Companion (RA),Natural,"Makkah, Medina",Abu al-'Aas ibn al-Rabiah,أبو العاص بن الربيع
120,Companion (RA),Martyred,"Makkah, Abyssinia, Medinah",Abu Hudhayfah ibn 'Utbah,أبو حذيفة بن عتبة بن ربيعة بن عبد شمس
121,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Uthman bin Maz'un,عثمان بن مظعون
122,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Abdullah bin Maz'un,عبد الله بن مظعون الجمحي
123,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufa, Basra",Imran bin Husain,عمران بن حصين
124,Companion (RA),Natural,"Makkah, Medina",Zaynab bint Maz'un,زينب بنت مظعون بن حبيب الجمحية
125,Companion (RA) [1st Generation],Martyred,Medina,Umm Waraqa bint 'Abdullah,أم ورقة بنت عبد الله بن الحارث
126,Companion (RA),Natural,"Makkah, Medinah",Zinira,زنيرة
127,Companion (RA),Natural,Medinah,Abdur Rahman ibn Shaddad,عبد الرحمن بن شداد الليثي
128,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Samarqand",Qutham ibn al-'Abbas,قثم بن العباس بن عبد المطلب
130,Companion (RA) [1st Generation],Natural,"Makkah, Medina, as-Surat, Syria, Hims",Thawban bin Bujdud,ثوبان مولى رسول الله صلى الله عليه وسلم
131,Companion (RA),Natural,Medinah,Abdullah 'Abd Rabb bin Haq,عبد الله عبد رب بن حق بن أوس
132,Companion (RA) [1st Generation],Martyred,Medina,Bashir ibn Sa'd,بشير بن سعد بن ثعلبة
133,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Ubaydallah bin al-'Abbas,عبيد الله بن العباس بن عبد المطلب
134,Companion (RA),Natural,"Makkah, Medinah",Amina bint 'Amr bin Harb,آمنة بنت عمرو بن حرب
135,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Fadl ibn al-'Abbas,الفضل بن العباس بن عبد المطلب
136,Companion (RA) [4th generation],Natural,"Makkah, Medina",Umm Habib bint Jahsh,أم حبيبة بنت جحش
137,Companion (RA),,"Makkah,  Medinah",Jariyya bint 'Amr bin Mu'mil,جارية بنت عمرو بن المؤمل
138,Companion (RA),Martyred,Medinah,Damra bin Ka'b bin 'Amr,ضمرة بن كعب بن عمرو
139,Companion (RA) [1st Generation],Natural,"Abyssinia, Medinah",Habibah bint Ubayd-Allah,حبيبة بنت أم حبيبة بنت أبي سفيان
140,Companion (RA),Martyred,"Makkah, Medina",Abdullah bin Abi Umayyah,عبد الله بن أبي أمية المخزومي
141,Companion (RA),Natural,"Makkah, Medina",LubabaSughra bint al-Harith,لبابة الصغرى بنت الحارث
142,Companion (RA),Natural,Medinah,Ziyad bin Ka'b bin 'Amr,زياد بن كعب بن عمرو
143,Companion (RA),,"Abyssinia, Makkah, Medinah, Egypt",Muhammad bin Abu Hudhayfah ibn 'Utbah,محمد بن أبي حذيفة بن عتبة
144,Companion (RA),Martyred,"Makkah, Abyssinia, Medina",Hisham ibn al-'Aas,هشام بن العاصي بن وائل
145,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufa",Hudhayfah ibn al-Yaman,حذيفة بن اليمان
146,Companion (RA),Natural,Medina,Buzay'a bint Abi Kharija bin Aws,بزيعة بنت أبي خارجة بن أوس
147,Companion (RA) [1st Generation],Martyred,"Makkah, Yemen, Syria",Ikrimah ibn Abi Jahl,عكرمة بن أبي جهل
148,Companion (RA),Martyred,Medina,Nu'man bin Malik,النعمان بن مالك بن ثعلبة بن دعد
149,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufa",Khabbab ibn al-Aratt,خباب بن الأرت
150,Companion (RA),Martyred,"Makkah, Abyssinia, Medinah, Syria",Khalid bin Sa`id ibn al-'As,خالد بن سعيد بن العاص بن أمية
151,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufa",Shaddad ibn al-Haad,شداد بن الهاد الليثي
152,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Khunays ibn Hudhaifa,خنيس بن حذافة بن قيس
153,Companion (RA),Natural,Medinah,Mandwas bint 'Ubada b. Dulaim,مندوس بنت عبادة بن دليم الأنصارية
154,Companion (RA),Natural,Medinah,Layla bint 'Ubada b. Dulaim,ليلى بنت عبادة الأنصارية الساعدية
155,Companion (RA),Natural,Medinah,Fukayha bint 'Ubayd b. Dulaim,فكيهة بنت عبيد بن دليم الأنصارية
156,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Umm Fadl Lubaba bint al-Harith,أم الفضل لبابة بنت الحارث
157,Companion (RA) [1st Generation],Martyred,"Medinah, Syria",Sa'id bin Sa'd ibn 'Ubadah,سعيد بن سعد بن عبادة الأنصاري
158,Companion (RA) [2nd Generation],Martyred,Medinah,Ishaq bin Sa'd ibn 'Ubadah,إسحاق بن سعد بن عبادة الأنصاري
160,Companion (RA),Natural,Medinah,al-Furay'a bint Malik bin al-Dukhsham,الفريعة بنت مالك بن الدخشم
161,Companion (RA),Natural,Medinah,Qurratu'l-'Ayn bint 'Ubada bin Nadla,قرة العين بنت عبادة بن نضلة
162,Companion (RA),Natural,"Makkah, Medina, Abyssinia",al-Fa'rah bint Abi Sufyan,الفارعة بنت أبي سفيان بن حرب
163,Companion (RA) [1st Generation],,"Makkah, Medina, Abyssinia",al-Miqdad ibn al-Aswad,المقداد بن الأسود الكندي
164,Companion (RA),Natural,"Makkah, Medina",Talib ibn Abi Talib,طالب بن ابي طالب
165,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufa",Aqeel ibn Abi Talib,عقيل بن أبي طالب
166,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Basra, Kufa",al-Mughira ibn Shu'ba,المغيرة بن شعبة
167,Companion (RA) [1st Generation],,"Medina, Syria",Muhammad Ibn Maslama,محمد بن مسلمة بن سلمة
168,Companion (RA) [1st Generation],Martyred,"Medina, Kufa, Egypt",Muhammad ibn Abi Bakr,محمد بن أبي بكر الصديق
169,Companion (RA) [1st Generation],Natural,"Medinah, Kufa",Abdullah ibn Shaddad,عبد الله بن شداد بن الهاد الليثي
170,Companion (RA) [1st Generation],Natural,"Makkah, Medinah, Palestine, Syria",Aus bin As-Samit,أوس بن الصامت بن قيس بن أصرم
171,Companion (RA) [1st Generation],Natural,"Makkah, Medinah, Kufa",Salma,سلمى أم رافع امرأة أبي رافع
172,Companion (RA) [1st Generation],Natural,"Medinah, Kufa, Egypt",Qays ibn Sa'd ibn 'Ubadah,قيس بن سعد بن عبادة الأنصاري
173,Companion (RA),Martyred,Medinah,Naufal bin 'Abdullah bin Nadla,نوفل بن عبد الله بن نضلة الأنصاري
174,Companion (RA) [1st Generation],Natural,"Makkah, Medinah",Rabi'ah ibn al-Harith,ربيعة بن الحارث بن عبد المطلب
175,Companion (RA),Natural,"Makkah, Abyssinia, Medina, Syria",Amir ibn Abi Waqqas,عامر بن أبي وقاص
176,Companion (RA),Natural,Medinah,Amra bint Mas'ud #4,عمرة بنت مسعود بن قيس الرابعة
177,Companion (RA),Natural,"Makkah, Medina",Nawfal ibn al-Harith,نوفل بن الحارث بن عبد المطلب
178,Companion (RA),Natural,Medinah,Ghaziyya bint Sa'd ibn Khalifa,عدية/غزية بنت سعد بن خليفة
179,Companion (RA),Martyred,"Makkah, Medina",Abdullah ibn al-Harith,عبد الله بن الحارث بن عبد المطلب
180,Companion (RA),Martyred,"Makkah, Medina",Salim Mawla Abu Hudhayfah,سالم مولى أبي حذيفة
181,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Umama bint Hamza,عماره/أمامة بنت حمزه بن عبدالمطلب
182,Companion (RA) [1st Generation],Natural,"Makkah, Rome, Medina",Suhayb bin Sinan ar-Rumi,صهيب بن سنان بن مالك الرومي
183,Companion (RA),Martyred,"Makkah, Medinah",Ubaydah ibn al-Harith,عبيدة بن الحارث بن المطلب
184,Companion (RA),,"Abyssinia,  Medinah,  Kufa",Muhammad ibn Ja'far,محمد بن جعفر بن أبي طالب
185,Companion (RA),Martyred,"Abyssinia,  Medinah,  Kufa",Awn ibn Ja'far,عون بن جعفر بن أبي طالب الهاشمي
186,Companion (RA),Natural,"Makkah, Medina",Umm Kulthum bint 'Amr Jarwal,أم كلثوم بنت عمرو بن جرول الخزاعية
187,Companion (RA) [1st Generation],Natural,Medina,Umm Shareek,أم شريك العامرية/ الأنصارية/ الدوسية
188,Companion (RA),Natural,"Makkah,  Medina",Umm 'Ubays,أم عبيس
189,Companion (RA) [1st Generation],Natural,"Medina, Syria, Egypt",Uqba bin 'Amir al-Juhayni,عقبة بن عامر الجهني
190,Companion (RA),Martyred,"Makkah, Medina, Ta",Urwah ibn Mas'ud al-Thaqafi,عروة بن مسعود بن معتب الثقفي
191,Companion (RA),Martyred,"Makkah, Medinah",Ayman bin 'Ubiad,أيمن بن عبيد بن زيد بن عمرو
192,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Abdullah b. Zama'a,عبد الله بن زمعة بن الأسود بن المطلب
193,Companion (RA),Natural,Medinah,Mulayl bin Wabara bin Khalid,مليل بن وبرة بن خالد بن العجلان
194,Companion (RA),Natural,Medinah,Habiba bint Mulayl bin Wabara,حبيبة بنت مليل بن وبرة بن خالد
195,Companion (RA),Natural,Medinah,Bushra bint Mulayl bin Wabara,بشرة بنت مليل بن وبرة بن خالد
196,Companion (RA),Natural,"Makkah, Medina",Atikah bint Zayd,عاتكة بنت زيد بن عمرو بن نفيل
197,Companion (RA),Martyred,"Makkah, Abyssinia, Medinah",Tulayb bin 'Umayr,طليب بن عمير بن وهب
198,Companion (RA) [1st Generation],Natural,"Makkah, Medina",Umm Hani bint Abi Talib,ام هانى بنت أبي طالب
199,Companion (RA),Natural,"Makkah, Medina",Jumanah bint Abi Talib,جمانة بنت أبي طالب بن عبد المطلب
200,Companion (RA) [1st Generation],Natural,"Medinah, Syria, Hims, Kufa",Umayr bin Sa'd al-Ansari,عمير بن سعيد بن عبيد الأنصاري
201,Companion (RA),Natural,Medinah,Basbas bin 'Amr bin Tha'laba,بسبس بن عمرو بن ثعلبة
202,Companion (RA) [1st Generation],Natural,"Makkah, Medina","Umm Ayman, Barakah",أم أيمن مولاة النبي صلى الله عليه وسلم
203,Companion (RA),Natural,Medina,Habiba bint Kharijah ibn Zayd,حبيبة بنت خارجة بن زيد
204,Companion (RA) [1st Generation],Natural,"Makkah, Abyssinia, Medinah, Egypt",Abdullah ibn Hudhafah as-Sahmi,عبد الله بن حذافة
205,Companion (RA) [1st Generation],Natural,"Sarat,  Makkah,  Madinah",Tufail ibn 'Abdullah,الطفيل بن عبد الله بن الحارث بن سخبرة
206,Companion (RA) [1st Generation],Natural,"Makkah, Abyssinia, Medinah, Basrah",Utbah ibn Ghazwan,عتبة بن غزوان
207,Companion (RA),,Medina,Mahabba bint ar-Rabi' ibn 'Amr,محبة بنت الربيع بن عمرو بن أبي زهير
208,Companion (RA),Natural,Medinah,Muhammad bin 'Abdur Rahman,محمد بن عبد الرحمن بن أبي بكر
209,Companion (RA) [1st Generation],Martyred,Medinah,Umm Haram bint Milhan,أم حرام بنت ملحان
210,Companion (RA),Natural,Medina,Huzayla bint 'Utba ibn 'Amr,هزيلة بنت عتبة بن عمرو
211,Companion (RA) [1st Generation],Natural,Medina,Zayd ibn Kharija ibn Zayd,زيد بن خارجة بن زيد
212,Companion (RA) [1st Generation],Natural,"Medina, Kufa",Adi ibn Hatim al-Tayyi',عدي بن حاتم الطائي
213,Companion (RA) [1st Generation],Martyred,"Makkah, Medina, Iraq",Ibn Umm Maktum,عبد الله بن أم مكتوم الأعمى القرشي
214,Companion (RA) [1st Generation],Natural,Medinah,Jamila bint Sa'd ibn ar-Rabi',أم سعد/ أم خارجة/جميلة بنت سعد بن الربيع
215,Companion (RA),Natural,Medina,Amra bint Hazm ibn Zayd,عمرة بنت حزم الأنصارية
216,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Basra",al-Harith ibn Nawfal ibn al-Harith,الحارث بن نوفل بن الحارث
217,Companion (RA),Natural,"Makkah, Medinah",Umayr bin Wahb,عمير بن وهب بن خلف
218,Companion (RA) [1st Generation],Natural,"Makkah, Medinah, Syria, Palestine",Yazid bin Abi Sufyan,يزيد بن أبي سفيان
219,Companion (RA),Natural,Medinah,Abu 'Umair bin Abi Talha,أبو عمير بن أبي طلحة زيد بن سهل الأنصاري
220,Companion (RA),Natural,Medinah,Umama bint As-Samit,أمامة بنت الصامت بن قيس بن أصرم
221,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Suhyal bin Bayda',سهيل بن بيضاء القرشي
222,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Umm Khultum bint Suhayl,أم كلثوم بنت سهيل بن عمرو
223,Companion (RA),Natural,"Makkah, Abyssinia, Medinah",Abu Sibrah bin Abi Ruhm,أبو سبرة بن أبي رهم بن عبد العزي
224,Companion (RA) [1st Generation],Natural,"Makkah, Medina, Kufah",Fatima bint Qays,فاطمة بنت قيس
225,Companion (RA) [1st Generation],,"Makkah, Medina, Damascus, Kufa",Ad-Dahhak bin Qays,الضحاك بن قيس بن خالد
